Number,Name,Year,Title,Journal,Volume,Issue,Pages,Notes
99,"Yuan, J.; Cheng, F.; Zhu, X.; Li, J.; Zhang, S.",2018,"Respiration of downed logs in pine & oak forests in the Qinling Mountains, China",Soil Biology and Biochemistry,127,,1-9,
100,"Setälä, H.; Marshall, V. G.; Trofymow, J. A.",1995,Influence of micro-& macro-habitat factors on collembolan communities in Douglas-fir stumps during forest succession,Applied Soil Ecology,2,1,227-242,
101,"Guo, J., Chen, G., Xie, J., Yang, Z., & Yang, Y.",2014,"Patterns of mass, carbon & nitrogen in coarse woody debris in five natural forests in southern China",Annals of Forest Science,71,5,585-594,
102,"Moreira, A. B., Gregoire, T. G., & do Couto, H. T. Z.",2019,"Wood density & carbon concentration of coarse woody debris in native forests, Brazil",Forest Ecosystems,6,1,18,
103,"Yang, F.F., Li, Y.L., Zhou, G.Y., Wenigmann, K.O., Zhang, D.Q., Wenigmann, M., Liu, S.Z. & Zhang, Q.M.",2010,Dynamics of coarse woody debris & decomposition rates in an old-growth forest in lower tropical China,Forest Ecology and Management,259,8,1666-1672,
104,"Tesfaye, M.A., Bravo-Oviedo, A., Bravo, F., P&o, V. & Herrero de Aza, C.",2019,Variation in carbon concentration & wood density for five most commonly grown native tree species in central highl&s of Ethiopia: The case of Chilimo dry Afromontane forest,Journal of Sustainable Forestry,38,8,769-790,
105,"Borden, K.A., Anglaaere, L.C.N., Adu-Bredu, S. & Isaac, M.E.",2019,Root biomass variation of cocoa & implications for carbon stocks in agroforestry systems,Agroforestry Systems,93,,369-381,
106,"Bueno-López, S.W., García-Lucas, E., & Caraballo-Rojas, L.R.",2019,Allometric equations for total aboveground dry biomass & carbon content of Pinus occidentalis trees,Wood and Forests,25,3,NA,
107,"Zhou, L,. Li, S., Liu, B., Wu, P., Heal, K.V., & Ma, X.",2019,"Tissue-specific carbon concentration, carbon stock, & distribution in Cunninghamia lanceolata (Lamb.) Hook plantations at various developmental stages in subtropical China",Annals of Forest Science,76,70,NA,
108,"Ganamé, M., Bayen, P., Dimobe, K., Ouédraogo, I. & Thiombiano, A.",2020,"Aboveground biomass allocation, additive biomass & carbon sequestration models for Pterocarpus erinaceus Poir. in Burkina Faso",Helyion,6,4,NA,
109,"Mahmood, H., Siddique, M.R.H, Islam, S.M.Z., Abdullah, S.M.R., Matieu, H., Iqbal, M.Z. & Ahkter, M.",2020,Applicability of semi-destructive method to derive allometric model for estimating aboveground biomass & carbon stock in the Hill zone of Bangladesh,Journal of Forestry Research,31,4,1235-1245,
110,"Northup, B.K., Zitzer, S.F., Archer, S., McMurtry, C.R. & Boutton, T.W.",2005,Above-ground biomass & carbon & nitrogen content of woody species in a subtropical thornscrub parkl&,Journal of Arid Environments,62,1,23-43,
111,"Weber, J.C., Montes, C.S., Abasse, T., Sanquetta, C.R., Silva, D.A., Mayer, S., Munix, G.I.B. & Garcia, R.A.",2018,"Variation in growth, wood density & carbon concentration in five tree & shrub species in Niger",New Forests,49,,35-51,
112,"Ying, J., Weng, Y., Oswald, B.P. & Zhang, H.",2019,Variation in carbon concentrations & allocations among Larix olgensis populations growing in three field environments,Annals of Forest Science,76,99,NA,
113,"Zhang, H., Jiang, Y., Song, M., He, J. & Guan, D.",2020,Improving underst&ing of carbon stock characteristics of Eucalyptus & Acacia trees in southern China through litter layer & woody debris,Scientific Reports,10,4735,NA,
114,"Thomas, A.L., Kallenbach, R., Sauer, T.J., Brauer, D.K., Burner, D.M., Coggeshall, M.V., Dold, C., Rogers, W., Sougata, B. & Jose, S.",2020,"Carbon & nitrogen accumulation within four black walnut alley cropping sites across Missouri & Arkansas, USA",Agroforestry Systems,Online Version,,,
115,"Jones, D.A. & O'Hara, K.L.",2018,"Variation in carbon fraction, density, & carbon density in conifer tree tissues",Forests,9,7,430,
116,"Widagdo, F.R.A., Xie, L., Dong, L. & Li, F.",2020,"Origin-based biomass allomatric equations, biomass partitioning, & carbon concentration variations of planted & natural Larix gmelinii in northeast China",Global Ecology and Conservation,23,,e01111,
117,"Abdallah, M.A.B., Mata-González, R., Holler, J.S. & Ochoa, C.G.",2020,"Ecosystem carbon in relation to woody plant encroachment & control: Juniper systems in Oregon, USA","Agriculture, Ecosystems and Environment ",290,,106762,
118,"Dong, L., Liu, Y., Zhang, L., Xie, L. & Li, F.",2019,Variation in carbon concentration & allomatric equations for estimating tree carbon contents of 10 broadleaf species in natural forests in northeast China,Forests,10,10,928,
119,"Gillerot, L., Vlaminck, E., De Ryck, D.J.R., Mwasaru, D.M., Beeckman, H. & Koedam, N.",2018,"Inter- & intraspecific variation in mangrove carbon fraction & wood specific gravity in Gazi Bay, Kenya",Ecosphere,9,6,e02306,
